Model,MSE,RMSE,MAE,R2
OLS,3.2560199870428965,1.8044445092722847,0.4523920089625927,0.7696495724907311
Ridge,3.25558050999201,1.8043227288908186,0.4522747758548819,0.7696806637392354
Lasso,3.2553879862572934,1.8042693774093972,0.45206714268347387,0.7696942840255893
